Course - Sec,Title,Cr,St,Max,Opn,Xlst,CRN,Instructor,When,Begin,End,Where
AME47560-03*,Independent UG Design Project,3,OP,10,5,,27396,"Go, David",TBA,2/3/2021,5/11/2021,TBA
AME48491-001*,Undergraduate Research,V,OP,15,15,,32955,"Goodwine, John",TBA,1/4/2021,1/27/2021,ONLINE COURSE
AME48491-002*,Undergraduate Research,V,OP,10,9,,32961,"Goodwine, John",TBA,1/4/2021,1/27/2021,ONLINE COURSE
AME48491-003*,Undergraduate Research,V,OP,10,10,,32962,"Goodwine, John",TBA,1/4/2021,1/27/2021,ONLINE COURSE
AME48491-01*,Undergraduate Research,1,OP,10,7,,20238,"Goodwine, John",TBA,2/3/2021,5/11/2021,DEPARTMENTAL ASSIGNS
AME48491-02*,Undergraduate Research,2,OP,12,9,,25866,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME48491-03*,Undergraduate Research,3,OP,30,24,,25867,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME48495-01*,DaVinci Concentration Summary,0,OP,12,9,,26287,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME50542-01,Eng Analysis/Manufact Process,3,OP,34,7,,25868,"Kinzel, Edward",M W F - 11:40A - 12:30P,2/3/2021,5/11/2021,Morris Inn 190A
AME50551-01,Introduction to Robotics,3,OP,45,8,,27795,"Wensing, Patrick",M W F - 2:30P - 3:20P,2/3/2021,5/11/2021,DeBartolo Hall 155
AME57520-01*,Mechatronic Football,3,OP,15,15,,23698,"Stanisic, Michael",T R - 3:55P - 5:10P,2/3/2021,5/11/2021,DEPARTMENTAL SPACE
AME57561-01*,Baja Build,3,OP,19,13,,23673,"Stanisic, Michael",T R - 3:55P - 5:10P,2/3/2021,5/11/2021,DEPARTMENTAL SPACE
AME57562-01*,Special Studies: Adv. Baja Des,3,OP,1,1,,27421,"Stanisic, Michael",TBA,2/3/2021,5/11/2021,TBA
AME60541-01,Finite Element Methods,3,OP,7,1,Y,29299,"Zahr, Matthew",M W F - 1:00P - 1:50P,2/3/2021,5/11/2021,Geddes Hall B34/36
AME60572-01,Introduction to Biomechanics,3,OP,5,2,Y,33251,"Holland, Maria",M W F - 9:10A - 10:00A,2/3/2021,5/11/2021,ONLINE COURSE
AME60612-01,Mathematical Methods II,3,OP,15,8,,25090,"Powers, Joseph",M W F - 11:40A - 12:30P,2/3/2021,5/11/2021,DeBartolo Hall 116
AME60614-01,Numerical Methods,3,OP,15,6,,24405,"Wang, Meng",T R - 12:45P - 2:00P,2/3/2021,5/11/2021,Fitzpatrick Hall of Eng. 356
AME60617-01,Data Assimilation & Parameter-,3,OP,38,16,,29249,"Wang, Jian-Xun",T R - 11:10A - 12:25P,2/3/2021,5/11/2021,DeBartolo Hall 136
AME60619-01,Fractional Calc for Engineers,3,OP,15,9,,31633,"Goodwine, John",M W - 3:55P - 5:10P,2/3/2021,5/11/2021,Corbett Family Hall E202
AME60623-01,Analytical Dynamics,3,OP,6,4,Y,31638,"Plecnik, Mark",T R - 12:45P - 2:00P,2/3/2021,5/11/2021,Bond Hall 325
AME60671-01,Orthopaedic Biomechanics,3,CL,4,0,Y,27799,"Niebur, Glen",T R - 12:45P - 2:00P,2/3/2021,5/11/2021,Bond Hall 308
AME60733-01,Solar Energy:Photovol Systems,3,OP,27,7,,32609,"Neretina, Svetlana",T R - 2:20P - 3:35P,2/3/2021,5/11/2021,Hayes Healy Center 117
AME60735-01,Adv. Data Analysis Techniques,3,OP,23,13,,31632,"Gordeyev, Stanislav",T R - 11:10A - 12:25P,2/3/2021,5/11/2021,DeBartolo Hall B011
AME60770-01,Stem Cell Engineering,3,OP,15,10,,31631,"Hanjaya Putra, Donny",M W F - 9:10A - 10:00A,2/3/2021,5/11/2021,DeBartolo Hall 125
AME63999-01,Graduate Seminar,0,CL,100,-1,,20245,"Niebur, Glen",T R - 3:55P - 5:10P,2/3/2021,5/11/2021,DeBartolo Hall 101
AME63999-02,Graduate Seminar,0,CL,10,0,,21402,"Niebur, Glen",T R - 5:40P - 6:25P,2/3/2021,5/11/2021,DEPARTMENTAL SPACE
AME63999-03,Graduate Seminar,0,CL,15,0,,21728,"Niebur, Glen",T R - 6:00P - 6:45P,2/3/2021,5/11/2021,DEPARTMENTAL SPACE
AME63999-04,Graduate Seminar,0,OP,5,2,,26283,"Niebur, Glen",M W - 8:00A - 9:15A,2/3/2021,5/11/2021,DEPARTMENTAL SPACE
AME68691-01,Thesis Research,V,OP,5,5,,20349,"Im, Seong-kyun",TBA,2/3/2021,5/11/2021,TBA
AME68691-02,Thesis Research,V,OP,5,1,,21001,"Go, David",TBA,2/3/2021,5/11/2021,TBA
AME68691-03,Thesis Research,V,OP,10,10,,20236,"Jumper, Eric",TBA,2/3/2021,5/11/2021,TBA
AME68691-04,Thesis Research,V,OP,10,10,,22894,"Tryggvason, Gretar",TBA,2/3/2021,5/11/2021,TBA
AME68691-05,Thesis Research,V,OP,5,5,,20484,"Stanisic, Michael",TBA,2/3/2021,5/11/2021,TBA
AME68691-06,Thesis Research,V,OP,5,5,,20422,"Powers, Joseph",TBA,2/3/2021,5/11/2021,TBA
AME68691-07,Thesis Research,V,OP,10,5,,21087,"Holland, Maria",TBA,2/3/2021,5/11/2021,TBA
AME68691-08,Thesis Research,V,OP,5,3,,20764,"Neretina, Svetlana",TBA,2/3/2021,5/11/2021,TBA
AME68691-09,Thesis Research,V,OP,5,1,,23101,"Zorlutuna, Pinar",TBA,2/3/2021,5/11/2021,TBA
AME68691-10,Thesis Research,V,CL,5,0,,20482,"Schmiedeler, James",TBA,2/3/2021,5/11/2021,TBA
AME68691-11,Thesis Research,V,OP,5,2,,20215,"Niebur, Glen",TBA,2/3/2021,5/11/2021,TBA
AME68691-12,Thesis Research,V,OP,5,4,,20227,"Thomas, Flint",TBA,2/3/2021,5/11/2021,TBA
AME68691-13,Thesis Research,V,OP,5,5,,20577,"Hanjaya Putra, Donny",TBA,2/3/2021,5/11/2021,TBA
AME68691-14,Thesis Research,V,OP,5,2,,20175,"Christensen, Kenneth",TBA,2/3/2021,5/11/2021,TBA
AME68691-15,Thesis Research,V,OP,5,4,,20851,"MacArt, Jonathan",TBA,2/3/2021,5/11/2021,TBA
AME68691-16,Thesis Research,V,OP,5,2,,24362,"Sakaue, Hirotaka",TBA,2/3/2021,5/11/2021,TBA
AME68691-17,Thesis Research,V,OP,5,3,,20402,"Roeder, Ryan",TBA,2/3/2021,5/11/2021,TBA
AME68691-18,Thesis Research,V,OP,5,1,,20709,"Gordeyev, Stanislav",TBA,2/3/2021,5/11/2021,TBA
AME68691-19,Thesis Research,V,OP,5,5,,20896,"Peng, Zhangli",TBA,2/3/2021,5/11/2021,TBA
AME68691-20,Thesis Research,V,OP,10,6,,20713,"Corke, Thomas",TBA,2/3/2021,5/11/2021,TBA
AME68691-21,Thesis Research,V,OP,3,3,,23416,"Boerckel, Joel",TBA,2/3/2021,5/11/2021,TBA
AME68691-22,Thesis Research,V,OP,5,3,,24363,"Juliano, Thomas",TBA,2/3/2021,5/11/2021,TBA
AME68691-23,Thesis Research,V,OP,5,5,,24376,"Leonov, Sergey",TBA,2/3/2021,5/11/2021,TBA
AME68691-24,Thesis Research,V,OP,10,2,,23452,"Luo, Tengfei",TBA,2/3/2021,5/11/2021,TBA
AME68691-25,Thesis Research,V,OP,10,3,,20517,"Morris, Scott",TBA,2/3/2021,5/11/2021,TBA
AME68691-26,Thesis Research,V,OP,5,5,,20911,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME68691-27,Thesis Research,V,OP,5,5,,20895,"Ovaert, Timothy",TBA,2/3/2021,5/11/2021,TBA
AME68691-28,Thesis Research,V,CL,5,0,,20655,"McClarren, Ryan",TBA,2/3/2021,5/11/2021,TBA
AME68691-29,Thesis Research,V,OP,5,5,,24838,"Kennedy, Andrew",TBA,2/3/2021,5/11/2021,TBA
AME68691-30,Thesis Research,V,OP,5,4,,21908,"Richter, David",TBA,2/3/2021,5/11/2021,TBA
AME68691-31,Thesis Research,V,OP,5,1,,21909,"Matous, Karel",TBA,2/3/2021,5/11/2021,TBA
AME68691-32,Thesis Research,V,OP,5,4,,21910,"Wang, Meng",TBA,2/3/2021,5/11/2021,TBA
AME68691-33,Thesis Research,V,OP,5,2,,23248,"Zabaras, Nicholas",TBA,2/3/2021,5/11/2021,TBA
AME68691-34,Thesis Research,V,CL,5,0,,25870,"Wensing, Patrick",TBA,2/3/2021,5/11/2021,TBA
AME68691-35,Thesis Research,V,OP,5,1,,25871,"Zhang, Yanliang",TBA,2/3/2021,5/11/2021,TBA
AME68691-36,Thesis Research,V,OP,5,1,,25869,"Wang, Jian-Xun",TBA,2/3/2021,5/11/2021,TBA
AME68691-37,Thesis Research,V,OP,5,5,,25872,"Yoon, Sangpil",TBA,2/3/2021,5/11/2021,TBA
AME68691-38,Thesis Research,V,OP,5,1,,27370,"Zahr, Matthew",TBA,2/3/2021,5/11/2021,TBA
AME68691-39,Thesis Research,V,OP,5,3,,27378,"Kinzel, Edward",TBA,2/3/2021,5/11/2021,TBA
AME68691-40,Thesis Research,V,OP,5,3,,27379,"Plecnik, Mark",TBA,2/3/2021,5/11/2021,TBA
AME68691-41,Thesis Research,V,OP,3,3,,33465,"Rosenberger, Matthew",TBA,2/3/2021,5/11/2021,TBA
AME68697-01,Nonresident Thesis Research,V,OP,5,5,,20855,"Gordeyev, Stanislav",TBA,2/3/2021,5/11/2021,TBA
AME68697-02,Nonresident Thesis Research,V,OP,5,4,,20014,"Im, Seong-kyun",TBA,2/3/2021,5/11/2021,TBA
AME68697-03,Nonresident Thesis Research,V,OP,15,15,,21066,"MacArt, Jonathan",TBA,2/3/2021,5/11/2021,TBA
AME68697-04,Nonresident Thesis Research,V,OP,5,5,,20512,"McClarren, Ryan",TBA,2/3/2021,5/11/2021,TBA
AME68697-05,Nonresident Thesis Research,V,OP,5,5,,21017,"Jumper, Eric",TBA,2/3/2021,5/11/2021,TBA
AME68697-06,Nonresident Thesis Research,V,OP,15,15,,20658,"Wang, Jian-Xun",TBA,2/3/2021,5/11/2021,TBA
AME68697-07,Nonresident Thesis Research,V,OP,15,15,,21155,"Christensen, Kenneth",TBA,2/3/2021,5/11/2021,TBA
AME68697-08,Nonresident Thesis Research,V,OP,5,5,,21188,"Wensing, Patrick",TBA,2/3/2021,5/11/2021,TBA
AME68697-09,Nonresident Thesis Research,V,OP,5,5,,21407,"Powers, Joseph",TBA,2/3/2021,5/11/2021,TBA
AME68697-10,Nonresident Thesis Research,V,OP,5,5,,21416,"Go, David",TBA,2/3/2021,5/11/2021,TBA
AME68697-11,Nonresident Thesis Research,V,OP,10,10,,21501,"Corke, Thomas",TBA,2/3/2021,5/11/2021,TBA
AME68697-12,Nonresident Thesis Research,V,OP,10,10,,21502,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME68697-13,Nonresident Thesis Research,V,OP,5,5,,22895,"Tryggvason, Gretar",TBA,2/3/2021,5/11/2021,TBA
AME68697-14,Nonresident Thesis Research,V,OP,5,5,,21503,"Morris, Scott",TBA,2/3/2021,5/11/2021,TBA
AME68697-15,Nonresident Thesis Research,V,OP,10,10,,21504,"Boerckel, Joel",TBA,2/3/2021,5/11/2021,TBA
AME68697-16,Nonresident Thesis Research,V,OP,5,5,,21505,"Niebur, Glen",TBA,2/3/2021,5/11/2021,TBA
AME68697-17,Nonresident Thesis Research,V,OP,5,5,,21506,"Ovaert, Timothy",TBA,2/3/2021,5/11/2021,TBA
AME68697-18,Nonresident Thesis Research,V,OP,5,5,,21507,"Roeder, Ryan",TBA,2/3/2021,5/11/2021,TBA
AME68697-19,Nonresident Thesis Research,V,OP,5,5,,21508,"Neretina, Svetlana",TBA,2/3/2021,5/11/2021,TBA
AME68697-20,Nonresident Thesis Research,V,OP,5,5,,21509,"Schmiedeler, James",TBA,2/3/2021,5/11/2021,TBA
AME68697-21,Nonresident Thesis Research,V,OP,5,5,,21510,"Stanisic, Michael",TBA,2/3/2021,5/11/2021,TBA
AME68697-22,Nonresident Thesis Research,V,OP,5,5,,21511,"Thomas, Flint",TBA,2/3/2021,5/11/2021,TBA
AME68697-23,Nonresident Thesis Research,V,OP,5,5,,23100,"Zorlutuna, Pinar",TBA,2/3/2021,5/11/2021,TBA
AME68697-24,Nonresident Thesis Research,V,OP,3,3,,23419,"Peng, Zhangli",TBA,2/3/2021,5/11/2021,TBA
AME68697-25,Nonresident Thesis Research,V,OP,5,5,,24364,"Sakaue, Hirotaka",TBA,2/3/2021,5/11/2021,TBA
AME68697-26,Nonresident Thesis Research,V,OP,5,4,,24365,"Juliano, Thomas",TBA,2/3/2021,5/11/2021,TBA
AME68697-27,Nonresident Thesis Research,V,OP,5,5,,24377,"Leonov, Sergey",TBA,2/3/2021,5/11/2021,TBA
AME68697-28,Nonresident Thesis Research,V,OP,5,5,,24832,"Luo, Tengfei",TBA,2/3/2021,5/11/2021,TBA
AME68697-29,Nonresident Thesis Research,V,OP,5,5,,24839,"Kennedy, Andrew",TBA,2/3/2021,5/11/2021,TBA
AME68697-30,Nonresident Thesis Research,V,OP,5,5,,21911,"Zabaras, Nicholas",TBA,2/3/2021,5/11/2021,TBA
AME68697-31,Nonresident Thesis Research,V,OP,5,5,,21912,"Richter, David",TBA,2/3/2021,5/11/2021,TBA
AME68697-32,Nonresident Thesis Research,V,OP,5,5,,21913,"Wang, Meng",TBA,2/3/2021,5/11/2021,TBA
AME68697-33,Nonresident Thesis Research,V,OP,5,5,,25874,"Zhang, Yanliang",TBA,2/3/2021,5/11/2021,TBA
AME68697-34,Nonresident Thesis Research,V,OP,5,5,,25873,"Holland, Maria",TBA,2/3/2021,5/11/2021,TBA
AME68697-35,Nonresident Thesis Research,V,OP,5,5,,25875,"Hanjaya Putra, Donny",TBA,2/3/2021,5/11/2021,TBA
AME68697-36,Nonresident Thesis Research,V,OP,8,8,,26887,"Yoon, Sangpil",TBA,2/3/2021,5/11/2021,TBA
AME68697-37,Nonresident Thesis Research,V,OP,5,5,,27371,"Zahr, Matthew",TBA,2/3/2021,5/11/2021,TBA
AME68697-38,Nonresident Thesis Research,V,OP,5,5,,27380,"Kinzel, Edward",TBA,2/3/2021,5/11/2021,TBA
AME68697-39,Nonresident Thesis Research,V,OP,5,5,,27381,"Plecnik, Mark",TBA,2/3/2021,5/11/2021,TBA
AME68697-40,Nonresident Thesis Research,V,OP,3,3,,33466,"Rosenberger, Matthew",TBA,2/3/2021,5/11/2021,TBA
AME70637-01,Ionization and Ion Transport,3,OP,14,10,,31630,"Go, David",M W - 9:35A - 10:50A,2/3/2021,5/11/2021,DeBartolo Hall 231
AME70790-01,Adv.Topics Mach. Learn,4,OP,15,9,,29280,"Zabaras, Nicholas Zabaras, Nicholas",(01) T R - 11:10A - 12:25P(11) F - 11:40A - 12:30P,(01) 02/03/2021(11) 02/03/2021,(01) 05/11/2021(11) 05/11/2021,DeBartolo Hall 313 Pasquerilla Center 109
AME90935-01,Turbulence,3,OP,21,1,,32412,"Thomas, Flint",M W - 3:55P - 5:10P,2/3/2021,5/11/2021,Fitzpatrick Hall of Eng. 356A
AME98200-01,Dissertation Completion,1,OP,10,10,,24043,"Go, David",TBA,2/3/2021,5/11/2021,TBA
AME98991-01,Dissertation Research,V,OP,5,5,,20278,"Im, Seong-kyun",TBA,2/3/2021,5/11/2021,TBA
AME98991-02,Dissertation Research,V,OP,5,5,,20192,"Boerckel, Joel",TBA,2/3/2021,5/11/2021,TBA
AME98991-03,Dissertation Research,V,OP,3,2,,23418,"Christensen, Kenneth",TBA,2/3/2021,5/11/2021,TBA
AME98991-04,Dissertation Research,V,OP,5,1,,20755,"Jumper, Eric",TBA,2/3/2021,5/11/2021,TBA
AME98991-05,Dissertation Research,V,OP,5,5,,20483,"Rosenberger, Matthew",TBA,2/3/2021,5/11/2021,TBA
AME98991-06,Dissertation Research,V,OP,5,5,,20258,"Peng, Zhangli",TBA,2/3/2021,5/11/2021,TBA
AME98991-07,Dissertation Research,V,OP,5,3,,20844,"Gordeyev, Stanislav",TBA,2/3/2021,5/11/2021,TBA
AME98991-08,Dissertation Research,V,OP,5,4,,20961,"Powers, Joseph",TBA,2/3/2021,5/11/2021,TBA
AME98991-09,Dissertation Research,V,OP,10,9,,21149,"Wensing, Patrick",TBA,2/3/2021,5/11/2021,TBA
AME98991-10,Dissertation Research,V,OP,5,5,,22896,"Tryggvason, Gretar",TBA,2/3/2021,5/11/2021,TBA
