,When
519,TBA
520,TBA
521,TBA
522,TBA
523,TBA
524,TBA
525,TBA
526,TBA
527,TBA
528,TBA
529,TBA
530,TBA
531,TBA
532,TBA
533,TBA
534,TBA
535,TBA
536,TBA
537,TBA
538,TBA
539,TBA
540,TBA
541,TBA
542,TBA
543,TBA
544,TBA
545,TBA
546,TBA
547,TBA
548,TBA
549,TBA
550,TBA
551,TBA
552,TBA
553,TBA
554,TBA
555,TBA
556,TBA
557,TBA
558,TBA
559,TBA
560,TBA
561,TBA
562,TBA
563,TBA
564,TBA
565,TBA
566,TBA
567,TBA
568,TBA
569,TBA
570,TBA
571,TBA
572,TBA
573,TBA
574,TBA
575,TBA
576,TBA
577,TBA
578,TBA
579,TBA
580,TBA
581,TBA
582,TBA
583,TBA
584,TBA
585,TBA
586,TBA
587,TBA
588,TBA
589,TBA
590,TBA
591,TBA
592,TBA
593,TBA
594,TBA
595,TBA
596,T R - 2:20P - 3:35P
597,M W - 11:10A - 12:25P
598,M W - 9:35A - 10:50A
599,M W - 5:30P - 6:45P
600,T R - 9:35A - 10:50A
601,T R - 2:20P - 3:35P
602,M W F - 10:25A - 11:15A
603,M W - 7:05P - 8:20P
604,T R - 11:10A - 12:25P
605,T R - 11:10A - 12:25P
606,T R - 3:55P - 5:10P
607,M W - 5:30P - 6:45P
608,M W - 3:55P - 5:10P
609,T R - 12:45P - 2:00P
610,M W F - 9:10A - 10:00A
611,M W F - 10:25A - 11:15A
612,T R - 9:35A - 10:50A
613,W - 6:00P - 8:00P
614,T R - 2:20P - 3:35P
615,M W - 2:20P - 3:35P
616,T R - 3:55P - 5:10P
617,M W - 11:10A - 12:25P
618,M W - 12:45P - 2:00P
619,M W - 3:55P - 5:10P
620,M W - 11:10A - 12:25P
621,M T W - 9:00A - 11:00A
622,M W - 10:25A - 11:15A
623,T R - 3:55P - 5:10P
624,T R - 9:35A - 10:50A
625,M W - 9:35A - 10:50A
626,T R - 9:35A - 10:50A
627,M W - 11:40A - 12:30P
628,M W - 11:10A - 12:25P
629,T R - 11:10A - 12:25P
630,T R - 2:20P - 3:35P
631,M W - 3:55P - 5:10P
632,M W - 2:20P - 3:35P
633,T R - 2:20P - 3:35P
634,M W - 11:10A - 12:25P
635,(01) T - 12:45P - 2:00P(11) R - 12:45P - 2:00P
636,M W - 12:45P - 2:00P
637,M W - 12:45P - 2:00P
638,T R - 5:30P - 6:45P
639,M W - 12:45P - 2:00P
640,M W - 2:30P - 3:20P
641,R - 12:45P - 3:30P
642,T R - 2:20P - 3:35P
643,T R - 11:10A - 12:25P
644,T R - 11:10A - 12:25P
645,M W - 3:55P - 5:10P
646,M W - 11:10A - 12:25P
647,T R - 11:10A - 12:25P
648,T R - 11:10A - 12:25P
649,T R - 12:45P - 2:00P
650,T - 11:10A - 1:55P
651,M W - 12:45P - 2:00P
652,T R - 12:45P - 2:00P
653,T R - 8:00A - 9:15A
654,M W - 2:20P - 3:35P
655,M W - 11:10A - 12:25P
656,T R - 9:35A - 10:50A
657,T R - 2:20P - 3:35P
658,T R - 3:55P - 5:10P
659,M W - 11:10A - 12:25P
660,R - 4:00P - 5:00P
661,TBA
662,TBA
663,TBA
664,M W - 2:20P - 3:35P
665,TBA
666,TBA
667,F - 10:40A - 12:10P
668,TBA
669,TBA
670,T R - 1:00P - 2:45P
671,M T W R - 8:00P - 9:00P
672,M T W R - 8:00P - 9:00P
673,M T W - 8:00P - 9:00P
674,M T W R - 8:00A - 5:00P
675,M T W R - 8:00A - 5:00P
676,M T W R - 8:00A - 5:00P
677,T R - 5:30P - 6:45P
678,TBA
679,TBA
680,TBA
681,TBA
682,TBA
683,TBA
684,TBA
685,TBA
686,TBA
687,T - 2:20P - 5:20P
688,W - 2:20P - 5:20P
689,T R - 2:20P - 3:35P
690,T R - 2:20P - 3:35P
691,M W F - 2:30P - 3:20P
692,M W - 3:55P - 5:10P
693,M W - 3:55P - 5:10P
694,T R - 3:55P - 5:10P
695,R - 8:25A - 9:15A
696,T R - 2:20P - 3:35P
697,M W - 2:20P - 3:35P
698,F - 12:00P - 3:00P
699,W F - 11:30A - 1:00P
700,F - 10:25A - 11:15A
701,(01) T R - 12:30P - 2:00P(11) W - 3:30P - 5:00P
702,R - 3:55P - 5:10P
703,M - 3:55P - 5:10P
704,R - 3:55P - 5:10P
705,T - 3:55P - 5:10P
706,M W - 5:30P - 6:45P
707,W - 3:30P - 4:45P
708,T - 3:55P - 5:10P
709,T - 5:30P - 6:45P
710,M - 5:30P - 6:45P
711,T R - 11:10A - 12:40P
712,M W - 11:10A - 12:25P
713,(01) F - 11:40A - 1:25P(11) F - 11:40A - 1:25P(21) F - 11:40A - 1:25P(31) F - 11:40A - 1:25P(41) F - 11:40A - 1:25P
714,R - 5:30P - 7:00P
715,TBA
716,F - 12:45P - 2:00P
717,TBA
718,TBA
719,TBA
720,T R - 12:45P - 2:00P
721,M W - 11:10A - 12:25P
722,T R - 3:55P - 5:10P
723,M W - 2:20P - 3:35P
724,M W - 3:55P - 5:10P
725,M W - 3:55P - 5:10P
726,M W - 3:55P - 5:10P
727,T R - 5:30P - 6:45P
728,T R - 12:45P - 2:00P
729,M W F - 9:10A - 10:00A
730,W - 6:00P - 8:00P
731,M W - 2:20P - 3:35P
732,T R - 9:35A - 10:50A
733,M W - 12:45P - 2:00P
734,T R - 11:10A - 12:25P
735,T R - 9:35A - 10:50A
736,M W - 3:55P - 5:10P
737,M W - 11:10A - 12:25P
738,M W - 2:20P - 3:35P
739,F - 9:30A - 10:45A
740,M W - 2:20P - 3:35P
741,M W - 3:55P - 5:10P
742,M W - 11:10A - 12:25P
743,M W - 11:10A - 12:25P
744,TBA
745,M W F - 9:10A - 10:00A
746,T R - 9:35A - 10:50A
747,T R - 11:10A - 12:25P
748,T R - 2:20P - 3:35P
749,M W F - 10:25A - 11:15A
750,M W F - 11:40A - 12:30P
751,M W F - 2:30P - 3:20P
752,M W F - 11:40A - 12:30P
753,M W F - 8:00A - 8:50A
754,M W F - 9:10A - 10:00A
755,M W - 2:20P - 4:10P
756,(01) T - 10:01A - 12:01P(11) T - 10:00A - 12:00P
757,(01) T - 12:45P - 2:45P(11) T - 12:46P - 2:46P
758,(01) T - 3:55P - 5:55P(11) T - 3:56P - 5:56P
759,(01) W - 1:01P - 3:01P(11) W - 1:00P - 3:00P
760,(01) R - 10:26A - 12:26P(11) R - 10:25A - 12:25P
761,(01) R - 1:00P - 3:00P(11) R - 1:01P - 3:01P
762,(01) R - 3:55P - 5:55P(11) R - 3:56P - 5:56P
763,(01) F - 3:46P - 5:46P(11) F - 3:45P - 5:45P
764,(01) R - 10:00A - 12:00P(11) R - 10:01A - 12:01P
765,(01) R - 12:45P - 2:45P(11) R - 12:46P - 2:46P
766,(01) R - 3:46P - 5:46P(11) R - 3:45P - 5:45P
767,F - 2:20P - 4:20P
768,T - 9:35A - 10:25A
769,T - 9:35A - 10:25A
770,T - 9:35A - 10:25A
771,T - 11:10A - 12:00P
772,T - 11:10A - 12:00P
773,T - 11:10A - 12:00P
774,T - 12:45P - 1:35P
775,T - 12:45P - 1:35P
776,T - 12:45P - 1:35P
777,T - 2:20P - 3:10P
778,T - 2:20P - 3:10P
779,T - 2:20P - 3:10P
780,T - 3:55P - 4:45P
781,T - 3:55P - 4:45P
782,T - 5:30P - 6:20P
783,T - 5:30P - 6:20P
784,T - 9:35A - 10:25A
785,T - 12:45P - 1:35P
786,T - 3:55P - 4:45P
787,T - 12:45P - 1:35P
788,T - 2:20P - 3:10P
789,R - 12:45P - 1:35P
790,T R - 11:10A - 12:25P
791,M W F - 11:40A - 12:30P
792,M W F - 9:10A - 10:00A
793,M W F - 10:25A - 11:15A
794,M W F - 4:05P - 4:55P
795,M W - 2:20P - 3:35P
796,M W F - 10:25A - 11:15A
797,T R - 2:20P - 3:35P
798,M - 2:20P - 4:20P
799,T - 2:20P - 4:20P
800,T - 4:45P - 6:45P
801,M - 12:45P - 2:45P
802,M - 3:55P - 5:55P
803,T - 10:00A - 12:00P
804,T - 12:45P - 2:45P
805,T - 3:55P - 5:55P
806,W - 1:00P - 3:00P
807,R - 9:35A - 10:50A
808,R - 12:45P - 2:00P
809,M W F - 1:30P - 3:00P
810,M W - 11:40A - 12:30P
811,T R - 11:10A - 12:25P
812,T - 2:20P - 3:50P
813,M W - 12:45P - 2:00P
814,T R - 2:00P - 3:15P
815,M W F - 11:40A - 12:30P
816,T R - 2:20P - 5:20P
817,TBA
818,TBA
819,TBA
820,TBA
